#pid;sid;start;end;text;phase;phase_name;subjective_load;rebus_score
7;28;1371288;1377258;MUŽ LEŽEL NA PLÁŽI A VŠECHNO HO BOLELO ALE MĚJ LEŽELY ZBYTKY LETADLA A;R3_0;Rebus;6.0;0.2
7;29;1383138;1386259;MOŘE NEBOŤ BYL NEJTĚŽŠÍ MOŘE TĚŠÍŠ MI MÝHO;R3_0;Rebus;6.0;0.2
7;30;1390918;1402958;LOĎ SE VYNOŘILA ÚPLNĚ ZAKYMÁCEL A CENA ROZBOUŘENÝCH VLN NA MOŘI NO A DŘEVĚNÁ PALUBA ZASTARALÁ A LOĎ ZAČALA KLOUZAT KE BŘEHU;R3_1;Rebus;6.0;0.2
7;31;1408608;1412778;NA STOLE STÁLA VÁZA POD OKNEM LEŽEL VYŠÍVANÝ KOBEREC PRO TY;R3_2;Rebus;6.0;0.2
7;32;1416148;1421269;KYTKAMI OVOCEM A PTÁKY S OBRAZEM MALOVALA NA KAŽDÉM KONCI;R3_2;Rebus;6.0;0.2
7;33;1427028;1443009;POLICISTA KRÁČEL MĚSTEM MRAKY SE PŘEVALOVALA PO ULICI JEHO YAMAHA SE PŘÁL POLICII JEHO NOHY V BOTÁCH SE S PODRÁŽKAMI TENKÝMI JAKO PAPÍR ČETLA ŽE DLÁŽDĚNÍ JAKO KNIHU;R3_3;Rebus;6.0;0.2
7;34;1447108;1461268;O CHVILKU POZDĚJI BYLO SLYŠET JAK SE ROZKŘIKLO ROZKŘIKLA VODA ROZSTŘÍKLA A KDYŽ NA MĚLČINĚ VYLODILA KOTVU VYHOĎ A KOTVU A ŽUCHL MOST SPUŠTĚNÍ NA MOLO;R3_4;Rebus;6.0;0.2
7;35;1472918;1481378;JO TAK PRVNÍ NO ASI NEVÍM DRUHÉ TAKY NE TŘETÍ SNAD BYLO KONEC;R3;RebusEvaluation;6.0;0.2
7;36;1484198;1487408;TŘETÍ DLAŽBU A;R3;RebusEvaluation;6.0;0.2
7;37;1494048;1497398;HM A ASI ANI PÁTÉ SI ASPOŇ;R3;RebusEvaluation;6.0;0.2
7;38;1520368;1536628;ASI NĚJAKÝ OBRAZ NĚJAKÉ ULICE JÁ VLASTNĚ LIDI CHODÍ KOLEM PO CHODNÍKU A VLASTNĚ UPROSTŘED NA CESTĚ JSOU NĚJAKÉ VOZY POVOZY S KOŇMI CO TAHAJÍCÍ A V POZADÍ JSOU STARÉ DOLY;W4;Water;3.0;nan
7;39;1539218;1556328;ASI DESET POTKÁNÍ OBROVSKÝ NĚJAKÉ U NĚJAKÉHO ÚDOLÍ VLASTNĚ MNOHEM VIDĚT MRAKY A HORY VLASTNĚ CELÝ POHLEDEM TAK SMĚREM DOLŮ NA JAKO NĚJAKOU VESNIČKU A SPOUSTA ZELENĚ STROMŮ;W4;Water;3.0;nan
7;40;1560118;1577199;OBRAZ BYL ZASE A NĚJAK NĚJAKÉ VLASTNĚ ZASE ŘEK A V POZADÍ JE NĚJAKÝ HRAD ASI PODLE PODLE NĚJAKEJCH BĚŽÍ A KAM MOSTU A PO STRANÁCH SE VLASTNĚ STROMY;W4;Water;3.0;nan
7;41;1580768;1593999;JO TAKHLE VELKÉ PANORAMA VLASTNĚ NA SEBE SE OBRAZ I NĚJAKÉ NĚJAKÉ KRAJINY POZADÍ SPÍŠ TAKOVÉ JENOM KOPEČKY NE PŘÍMO HORY PŘED NÁMI NĚJAKEJ NĚJAKÝ KOSTEL;W4;Water;3.0;nan
7;42;1596258;1608628;ASI ZASE FOTKA A SPOUSTU NĚJAKÝCH HOR HODNĚ MNOHDY TAKŽE ASI NĚKDE VYSOKO ZAJÍMAVÉ JENOM V PODSTATĚ JENOM BÍLÉ BARVY JSTE SE MĚLA TROCHU DO MODRA;W4;Water;3.0;nan
7;43;1634198;1644558;KNÍŽE VLASTNĚ OBROVSKÝ HRAD JEHO GALERIE BYLA PROSLULÁ SVÝMI OBRAZY JEHO ZAHRADY JE SOCH A OZDOBNÝMI JO;R4_0;Rebus;6.0;0.57
7;44;1660048;1676488;A DEŠ ZA ZA VÁLOVÁ OKRUH POD HOROU MOHUTNÝMI S ŘEKAMI VODY JEZDCI FORMULE STÁLI NA STARTU A ČEKALI NA POKYN STARTÉRA;R4_1;Rebus;6.0;0.57
7;45;1680418;1687398;AŽ PŘEKROČÍ PRÁH DOMŮ NEBUDE JÍT UŽ RUŠIT ŽÁDNÁ PARAZITNÍ MYŠLENKA TÝKAJÍCÍ SE;R4_2;Rebus;6.0;0.57
7;46;1691258;1703628;A RUKY A AUTO JEDE A ONA SE NEDÍVÁ VEN NA ULICI PO SE ZAMĚŘUJE NA ČÍSLA KTERÉ SE PRÁVĚ UKAZOVALO NA TACHOMETRU;R4_2;Rebus;6.0;0.57
7;47;1708378;1728178;A JAK JE TA PROLETĚLA OKOLO <unk> TEN UŽ JE ASI JE LETOŠNÍ ÚČINKY MĚSÍC I SLUNCE ODKLONILI JEJICH PŮVODNÍ DRÁHU A ONI SE TEĎ ZŘÍTILY PŘÍMO NA NÁS I ZEMI HODINY ZAZVONILI A PROBUDIL NO BUDÍK ZAZVONIL PROBUDIL DÍTĚ Z NOČNÍ MŮRY;R4_3;Rebus;6.0;0.57
7;48;1732038;1745209;KOUZELNÍK RYCHLE SEBRAL SVŮJ KLOBOUK A DÁL SE BĚHU JEHO NOHY VĚDĚLI CO DĚLAT JEHO BĚH NABÍRAL RYCHLOST SE KTEROU BY SE ANI KŮŇ NEMOHL POMĚŘOVAT;R4_4;Rebus;6.0;0.57
7;49;1749298;1766788;KOHOUT TŘIKRÁT ZAKRÁKORAL A SLUNCE VYŠLO MRAKY SE ROZESTOUPILY A V JAPONSKU ZAČALA DALŠÍ NEDĚLE TOHO TRHOVCI BYTĚ STAVĚLI SVÉ STANY A ČEKALI NA PRVNÍ RANNÍ ZÁKAZNÍKY;R4_5;Rebus;6.0;0.57
7;50;1769858;1788668;VZAL DO RUKY ŠTĚTEC A PODÍVAL SE NA OBLOHU OBRAZ NIC NEBYLO TAK JAK JAKOBY JAKOBY TO BĚŽNÉ OKOLÍ JO NA PLÁTNĚ NELEŽ NANÁŠEL BARVY KRÁTKÝMI TAHY DOKUD HVĚZDY NEZÁŘILY JAKO NIKDY PŘEDTÍM;R4_6;Rebus;6.0;0.57
7;51;1792078;1798088;A LEKNÍN STARTÉR TACHOMETRU;R4;RebusEvaluation;6.0;0.57
7;52;1810408;1814098;PÁTÉ AŽ ŠESTÉ ASI TAKY SEDMÉ NEBO;R4;RebusEvaluation;6.0;0.57
7;53;1842158;1859208;A NĚJAKÝ ASI OBRAZ NĚ I FARMÁŘŮ NĚKDE NA NA POLI A POSADIT HO VIDĚT TAKHLE VLASTNĚ KOPEČKY ZASE NĚJAKÝ DALŠÍCH POLÍ A NĚJAKÁ MALÁ VESNIČKA A VON JINEJ JAKÉ TOHO FARMÁŘE VLASTNĚ JÍT;W5;Water;3.0;nan
7;54;1862268;1880718;ASI SE POTKAL NĚJAKÉ A VLASTNĚ U MOŘE SPOUSTU NĚJAKEJ JAKO KAMENÍ KOLEM R. JAK NĚJAKÉM TAKOVÝ MALÝ MALÝ PRŮPLAV VLASTNĚ V PODSTATĚ JO KTERÝM VLASTNĚ TO CHODIT EUR;W5;Water;3.0;nan
7;55;1882798;1900148;A NĚJAKÝ VLASTNĚ SE OBRAZ VÝHLED NA NĚJAKEJ NĚJAKEJ JAKO ŘEKU A TO ŘECE MŮŽEME VIDĚLA ASI SPÍŠ TAKHLE STARÉM VODĚ A VLASTNĚ VÍME NĚJAKOU KOČKU NEBO PSA CHODIT PO;W5;Water;3.0;nan
7;56;2273418;2278628;ŽE TO JE ASI OBECNĚ NEBO NE JEDNOTLIVÉ JEŠTĚ JEDNU;NASA-TLX;NASA-TLX;nan;nan
7;57;2334958;2339158;MIMOCHODEM VYPADÁ ŽE JSTE NENABÍJÍ VÍM ŽE TO JE ŠTRNÁCT PROCENTEM JE STRACHY;NASA-TLX;NASA-TLX;nan;nan
7;58;2406718;2419408;TAK ZÁŽITEK VODY KOLEM TÉ TROJKY POŘÁD A TEN RÉBUS ZHORŠIL ASPOŇ PRO MĚ TEDA STRAŠNĚ ŠPATNÁ SLOVNÍ ZA SEBOU TAKŽE ASI ŠEST SEDM;Debriefing;Debriefing;nan;nan
7;59;2431528;2486119;KAM A NE ÚPLNÝ ZAČÁTEK BYL NEJHORŠÍM MOŽNÁ ZAPRVÉ POPRVÉ DO TÉ VODY NEVÍM PROČ JSEM NEČEKAL ŽE BUDE FAKT LEDOVÁ KDYŽ MĚ LET NEBO ASPOŇ NĚJAKEJ Z BYL TAKÉ TŘEBA PŘEKVAPENÍ PULS KDYŽ SE ZROVNA V TU DOBU AJ OBĚ OBJEVILY TY TY KAMERY TAK TO JAKO TAK TROŠKU ČLOVĚK ASI ZNEJISTÍ NEJEN V TO TAKHLE ROZLIŠIL A A JINAK S TOU VODOU JSEM VNÍMAL CELKOVĚ JAKOŽE V POHODĚ KROMĚ VLASTNĚ TOHO DRUHÉHO HORÁCH JSOU ASI TO JSEM JEDINÉ KDYŽ BYLO ASI TAKHLE ČAS JAKOBY NAD TÍM PŘEMÝŠLEL TAK JSEM SI UVĚDOMIL ŽE MĚ TA RUKA DOCELA JAKO JAKO MRAZY TAKŽE JINAK VLASTNĚ UŽ POTOM UŽ JSOU V POHODĚ A TEN RÉBUS TO JSEM AKORÁT TEDA DO ZASE BYL TAKOVEJ TROŠKU JAKO TO ŽE FAKT JAKO HROZNĚ ŠPATNOU SLOVNÍ ZÁSOBU A NEVÍM JESTLI TO BYLO TEDA SCHVÁLNĚ MIMOCHODEM ŽE SE TAM TY EMODŽI ZOBRAZIL TAK POMALU DOBŘE;Debriefing;Debriefing;nan;nan
7;60;2511908;2523878;JOSEF NOS ASI TO PO POHŘBU PŘEJEME MÍT TAKOVOU PAUZU KDYŽ TEDA KRUMPÁČ TO VODJEL TO MOŽNÁ S TÍM ŽE JSME SE ŠPATNĚ ZROVNA VYSUŠUJE URČITOU ZROVNA JAKO MI SPADL PŮLKA TOHO DO TOHO TAKŽE;Debriefing;Debriefing;nan;nan
7;61;2536518;2550378;NĚJAKÁ ZMĚNA PŘEDTÍM POTOM ŘEKNĚME ŽE CELKOVĚ JAKO JAK TO NĚJAK STOUPÁ A ZASE ZASE MOŽNÁ KLESÁ TÍM JAK ČLOVĚK NA TO ZVYKÁ SI TU VINU NA NA NA TO KOULE NA TU VODU I NA TEN NĚJAKÝ EXPERIMENT CELÝ;Debriefing;Debriefing;nan;nan
7;62;2603618;2623398;JSEM SE MŮŽU ZEPTAT SCHVÁLNĚ A O TOM DOTAZNÍKU MÁTE PÁR NĚJAKÝCH DUPLICITNÍCH OTÁZEK NEBO JAKOŽE TO NEVÍM TAKY TO JE TAKY SCHVÁLNĚ JO PŘITOM JE JE TAM DVAKRÁT JSEM SPOKOJEN U TOHO A ÚPLNĚ NA KONCI JE DVAKRÁT MENTÁLNÍ NÁROČNÁ;Debriefing;Debriefing;nan;nan
7;63;2629468;2641858;JEROME TO MI TO PŘIŠLO JAK NĚJAKÝ TREST ŽE VLASTNĚ JAKO TEĎKA JSEM VYPLNIL TOHLE TAK JESTLI O PĚT VTEŘIN POTOM VYPLNIL TO SAMÉ JAKOBY BYCH JAKO TAK NEVÍM JESTLI TO BYLO SCHVÁLNĚ DOHODA JE ALE ZBYTEČNĚ MOC SE NA TO ASI SOUSTŘEDIL VADÍ;Debriefing;Debriefing;nan;nan
8;0;636752;649552;JIM MALBOU ZÁTIŠÍ A JAKO RŮŽOVÁ KVĚTINA NO A HNĚDÉM STOLE ALE VYPADÁ TROŠKU JAKO KARTÓNOVÝ A PODKLAD;W0;Water;2.0;nan
8;1;657752;672422;A NENÍ OBRAZ O PARKU A A S TÍM PARKEM SE NACHÁZÍ NICH KOSTEL A PO LEVÉ STRANĚ STOJÍ VELKÁ DNESKA STROMY;W0;Water;2.0;nan
8;2;682392;689952;VIDÍM FOTKU MĚSTA K HISTORICKÉ BUDOVĚ A VYPRAT TŘEBA JAKO BRNO;W0;Water;2.0;nan
8;3;740752;752092;NA PALOUKU SE PÁSU SOB KOLEM MĚJ SE PROHNALO HEJNO BAŽANTŮ A KOROPTVÍ IDYLKU KAZIL JEN MYSLIVEC ČÍHAJÍCÍ NA POSEDU;R0_0;Rebus;3.0;1.0
8;4;756142;768813;PŘES MOST SE ŘÍTILO AUTO ZA NÍM SEHNALI DVĚ POLICEJNÍ AUTA A VE VZDUCHU NAD NÍM VISEL VRTULNÍK PNEUMATIKY HLASITĚ KVÍLELY;R0_1;Rebus;3.0;1.0
8;5;797772;810972;MI SPOUSTU OTEVŘENÝCH KNIH A VY JSTE SVOU POMAČKANÁ TAK SE TO STARŠÍ KNĚZ A A JE TO TAKOVÝ HEZKÝ PŘÍJEMNÝ PAPÍR MYSLÍM SI ŽE TAM SI MOC HEZKY VONĚT;W1;Water;2.0;nan
8;6;816352;833882;HM JO DOBRÝ JO A TEĎ VIDÍM A OBRAZ Z LESA PÁTEK O DIGITÁLNÍ OBRAZ A NACHÁZÍ SE TAM NĚJAKÝ PRO TAK MALÝ PEJSEK A;W1;Water;2.0;nan
8;7;839262;844722;I LODNÍ BITVA AMERICKÉ VLAJKY A;W1;Water;2.0;nan
8;8;858822;868842;A KALIFORNIE A PALMY A I MODRÁ OBLOHA ZÁŘÍCÍ SLUNCE;W1;Water;2.0;nan
8;9;876752;883292;A TO ČESKÁ KRAJINA I OBRAZ ČESKÉ KRAJINY A;W1;Water;2.0;nan
8;10;911902;919882;A PODÍVAL SE DO SPISU A DOŠEL K NÁZORU ŽE PŘÍČINOU VŠEHO JE NEDOBRÁ VŮLE PÝCHA MALICHERNOST;R1_0;Rebus;4.0;0.67
8;11;923162;934782;S MOJE KRUTÁ A NEODPOUŠTÍ KDYŽ PADÁ SNÍH A VANOU BÍLÁ POČKEJ OSAMOCENÝ VLK ZEMŘE ALE SMEČKA PŘEŽIJU;R1_1;Rebus;4.0;0.67
8;12;941632;951382;ELF VYKŘIKL VELIKÝM HLASEM A VE STŘEHU VYSOKO DO VZDUCHU ŠÍP TEN ZMIZEL ZÁBLESKU OHNĚ JO ARMÁDA UVIDĚLA SIGNÁL A VRHLA SE DO ÚTOKU;R1_2;Rebus;4.0;0.67
8;13;954932;960422;I S ŽE PREJ VÁM MALICHERNOST A POSLEDNÍ BYLO ÚTOKU PROSTĚ NIC NEPAMATUJU;R1;RebusEvaluation;4.0;0.67
8;14;975992;987502;JO O AMERICKÉ MĚSTO SPOUSTA AUT TŘÍPROUDOVÉ SILNICE A K ŘEKA A VYSOKÉ BUDOVY;W2;Water;1.0;nan
8;15;994333;1001422;A MALBA JEZERO A KRAJINY U JEZERA A;W2;Water;1.0;nan
8;16;1004032;1010303;SRNEC A SPOUSTA TMAVÁ ZELENÁ ZAPADAJÍCÍ SLUNCE;W2;Water;1.0;nan
8;17;1014242;1030082;A INDICKÁ ŽENA A VZPOMNĚL JSEM SE NA TAKOVÉ TO JE A PAK SE KDE PŮSOBIL LETÉ HÁZÍ BARVU A JE TO TO SNAD ZÁBAVA SUPER A TAKŽE NĚJAKÉHO BAREVNÉHO PRÁŠKU;W2;Water;1.0;nan
8;18;1054342;1063842;CESTU MU ZASTOUPIL OBROVSKÝ DRAK KRÁL NEVÁHAL TASIL MEČ A PUSTIL S. S NESTVŮROU DO BOJE ŽIVOT NA SMRT;R2_0;Rebus;4.0;0.5
8;19;1068452;1076072;MARKÉTA VYŠLA ZE DVEŘÍ JEŠTĚ JEDNO SE OTOČILA V OČÍCH I SI ZAJISKŘILA SE ZA ZAMÁVALA SVÝM SESTRÁM A VYRAZILA;R2_1;Rebus;4.0;0.5
8;20;1079142;1091052;DOBŘE NOVÝ DOKUMENT NA SVÉM POČÍTAČI A NAHMATAL KLÁVESNICI VENKU PRŠELO BYLO CHLADNO PŘES OKNO VIDĚL SAMI I I KDYŽ NIKDO SAMI STUDENÝ OBLIČEJE;R2_2;Rebus;4.0;0.5
8;21;1095782;1105562;DARKEN NEDOSTÁVÁ RÁDA VŽDY MĚLA POCIT ŽE KLÍČ K JEJÍMU SRDCI LEŽÍ JINDE AŽ NA PULTECH OBCHODŮ;R2_3;Rebus;4.0;0.5
8;22;1108852;1114812;PRVNÍ BYLA SMRT POSLEDNÍ BYLO OBCHODU A PŘEDPOSLEDNÍ BYLO;R2;RebusEvaluation;4.0;0.5
8;23;1140432;1144152;PODZIMNÍ KRAJINA I TEKOUCÍ ŘEKY A;W3;Water;1.0;nan
8;24;1146162;1153362;A OBRÁZEK JO A HODNĚ I PŘES STYLIZOVANÝ A;W3;Water;1.0;nan
8;25;1159142;1166052;I MALBA ANTICKÉHO OPUSŤTE ZPÍVÁ MĚ ANGLICKY A;W3;Water;1.0;nan
8;26;1168702;1176692;STAVENÍ A A MÍSTO ZELENÉ TRÁVĚ TAM VYPÁLENÁ A ZEMĚ;W3;Water;1.0;nan
8;27;1179472;1189662;A TAK A POLÁRNÍ KRAJINA A ČISTÁ OBLOHA DOJDE HVĚZDY A ČLOVĚK SVÍTÍ JIM REFLEKTORU;W3;Water;1.0;nan
8;28;1227792;1236932;SLOŽIL NA PLÁŽI A VŠECHNO BOLELO KROMĚ LEŽELY ZBYTKY LETADLA A TY KUFRY CESTUJÍCÍCH MOŘE TIŠE ŠUMĚLO;R3_0;Rebus;5.0;0.4
8;29;1240912;1246753;BUĎ SE VYNOŘILA ÚPLNĚ ZAKYMÁCELO S. NA ROZBOUŘENÝCH VLNÁCH A;R3_1;Rebus;5.0;0.4
8;30;1252532;1255622;DŘEVĚNÁ VOLBA ZASTÉNALA A LOĎ ZAČALA KLOUZAT KE BŘEHU;R3_1;Rebus;5.0;0.4
8;31;1259522;1272022;NA STOLE STÁLO VÁZA POD OKNEM LEŽEL VYŠÍVANÝ KOBEREC POSETÝ KVĚTINAMI OVOCEM PTÁČKY I S OBRAZEM A NA KAŽDÉM KONCE;R3_2;Rebus;5.0;0.4
8;32;1284462;1294742;TO NO A OBLAKA SE PŘEVALOVALA PO ULICÍCH MOC NE TO JE TO JEHO NOHY V BOTÁCH S PODRÁŽKAMI TENKÝMI JAKO PAPÍR ČETLI DLÁŽDĚNÍ JAKO KNIHU;R3_3;Rebus;5.0;0.4
8;33;1299282;1309052;CHVILKU POZDĚJI BYL SLYŠET JAK SE ROZTŘÍSKÁ ROZSTŘÍKLA VODA KDYŽ NA MĚLČINĚ BY HODILA KOTVU A UCHO A MOST SPUŠTĚNÝ NA;R3_4;Rebus;5.0;0.4
8;34;1312332;1318812;PRVNÍ BOD ŠUMĚLO A POSLEDNÍ BYLO MOLO A PŘEDTÍM;R3;RebusEvaluation;5.0;0.4
8;35;1322502;1325982;AHA NO NA TEĎ NAD TŘI POST PROSTŘEDNICTVÍM SI NEVZPOMENU;R3;RebusEvaluation;5.0;0.4
8;36;1344272;1370322;T. MALBA A MĚSTO TAK V DEVATENÁCTÉM STOLETÍ A VIDĚT UŽ MODERNĚJŠÍ BUDOVY A ZÁSTAVBĚ A KŮŇ TO ŽE JO A TO JE FOTOGRAFEK ALPSKÉ KRAJINY A JIM PŘÍJEMNÝM OPAREM;W4;Water;2.0;nan
8;37;1372522;1376472;A JE TO HEZKÝ SLUNEČNÝ DEN A;W4;Water;2.0;nan
8;38;1378632;1381692;A DOLE SE NACHÁZÍ NĚJAKÁ ROZTOMILÁ FOTKA VESNICE;W4;Water;2.0;nan
8;39;1385642;1394352;A T. OBRAZ A PRAGOVKA NA LÉTO A ZOBRAZUJE;W4;Water;2.0;nan
8;40;1396662;1405702;A JIHOEVROPSKOU ITALSKOU KRAJINU A CHLADEM PLZEŇ HM;W4;Water;2.0;nan
8;41;1409072;1417682;A T. STŘEDOČESKÁ STŘEDOEVROPSKÁ KRAJINA A S KÝM VZOREM V POZADÍ;W4;Water;2.0;nan
8;42;1422082;1432222;VRCHOLKY HOR A V OBLACÍCH A ON TAKY ALPSKÉ POCIT Z TOHO A;W4;Water;2.0;nan
8;43;1450212;1464062;ŽE VLASTNĚ OBROVSKÝ HRAD JEHO GELLEROVÁ PROSLULA SVÝMI OBRAZY JEHO ZAHRADY I SOCHY I Z HRADU JE SUCHÝ A OZDOBNÝMI OZDOBNÝMI A;R4_0;Rebus;6.0;0.29
8;44;1471652;1477892;DRŽ ZAPALOVAL OKRUH POD HOROU POHROMU HUTNÝMI I;R4_1;Rebus;6.0;0.29
8;45;1483212;1489782;PŘÍVALY VODY A JESTLI SE FORMULÍ STÁLI NA STARTU A ČEKALI NA POKYN STARTÉRA;R4_1;Rebus;6.0;0.29
