pid;sid;start;end;phase;phase_name;subjective_load;rebus_score
11;20;1446660;1456620;R3_0;Rebus;8.0;0.4
11;21;1459850;1471730;R3_1;Rebus;8.0;0.4
11;22;1474620;1486050;R3_2;Rebus;8.0;0.4
11;23;1488490;1498660;R3_3;Rebus;8.0;0.4
11;24;1502250;1511610;R3_4;Rebus;8.0;0.4
11;25;1512980;1551980;R3;RebusEvaluation;8.0;0.4
11;26;1553640;1651310;W4;Water;5.0;nan
11;27;1688630;1699760;R4_0;Rebus;8.0;0.43
11;28;1702820;1729140;R4_1;Rebus;8.0;0.43
11;29;1731990;1751610;R4_2;Rebus;8.0;0.43
11;30;1754620;1769630;R4_3;Rebus;8.0;0.43
11;31;1772200;1786210;R4_4;Rebus;8.0;0.43
11;32;1789240;1807150;R4_5;Rebus;8.0;0.43
11;33;1809460;1825900;R4_6;Rebus;8.0;0.43
11;34;1828310;1850310;R4;RebusEvaluation;8.0;0.43
11;35;1852510;1917980;W5;Water;6.0;nan
11;36;1976600;2068780;STAI-Y2-1;STAI-Y2;nan;nan
11;37;2073780;2283650;Relax-1;Relax;nan;nan
11;38;2288650;2355910;NASA-TLX;NASA-TLX;nan;nan
11;39;2360910;2628640;Debriefing;Debriefing;nan;nan
13;0;0;102760;Instructions;Instructions;nan;nan
13;1;107760;193100;PSS14;PSS14;nan;nan
13;2;198100;411870;Relax-0;Relax;nan;nan
13;3;416870;491840;STAI-Y2-0;STAI-Y2;nan;nan
13;4;496840;602730;W0;Water;1.0;nan
13;5;607950;621840;R0_0;Rebus;1.0;1.0
13;6;625580;637980;R0_1;Rebus;1.0;1.0
13;7;639540;651540;R0;RebusEvaluation;1.0;1.0
13;8;667580;770210;W1;Water;5.0;nan
13;9;795960;806880;R1_0;Rebus;3.0;1.0
13;10;812090;827370;R1_1;Rebus;3.0;1.0
13;11;830540;842800;R1_2;Rebus;3.0;1.0
13;12;843880;857540;R1;RebusEvaluation;3.0;1.0
13;13;859090;925540;W2;Water;4.0;nan
13;14;942800;952930;R2_0;Rebus;8.0;0.25
13;15;956300;963950;R2_1;Rebus;8.0;0.25
13;16;967580;976190;R2_2;Rebus;8.0;0.25
13;17;979240;988960;R2_3;Rebus;8.0;0.25
13;18;989210;1011540;R2;RebusEvaluation;8.0;0.25
13;19;1014740;1079210;W3;Water;4.0;nan
13;20;1096120;1106200;R3_0;Rebus;8.0;0.2
13;21;1110130;1120120;R3_1;Rebus;8.0;0.2
13;22;1123590;1133460;R3_2;Rebus;8.0;0.2
13;23;1137210;1148930;R3_3;Rebus;8.0;0.2
13;24;1152820;1162360;R3_4;Rebus;8.0;0.2
13;25;1165210;1186540;R3;RebusEvaluation;8.0;0.2
13;26;1188740;1287210;W4;Water;5.0;nan
13;27;1302400;1315470;R4_0;Rebus;8.0;0.14
13;28;1319370;1339110;R4_1;Rebus;8.0;0.14
13;29;1343200;1362840;R4_2;Rebus;8.0;0.14
13;30;1365860;1379050;R4_3;Rebus;8.0;0.14
13;31;1382030;1394690;R4_4;Rebus;8.0;0.14
13;32;1397070;1416340;R4_5;Rebus;8.0;0.14
13;33;1419870;1434300;R4_6;Rebus;8.0;0.14
13;34;1435540;1457540;R4;RebusEvaluation;8.0;0.14
13;35;1457680;1522540;W5;Water;5.0;nan
13;36;1540140;1588830;STAI-Y2-1;STAI-Y2;nan;nan
13;37;1593830;1788740;Relax-1;Relax;nan;nan
13;38;1793740;1858040;NASA-TLX;NASA-TLX;nan;nan
13;39;1862540;2022720;Debriefing;Debriefing;nan;nan
14;0;0;266750;Instructions;Instructions;nan;nan
14;1;271750;397720;PSS14;PSS14;nan;nan
14;2;402720;591100;Relax-0;Relax;nan;nan
14;3;596100;689970;STAI-Y2-0;STAI-Y2;nan;nan
14;4;694970;840800;W0;Water;6.0;nan
14;5;848340;854850;R0_0;Rebus;2.0;0.0
14;6;859160;870710;R0_1;Rebus;2.0;0.0
14;7;874260;907930;R0;RebusEvaluation;2.0;0.0
14;8;919700;1029260;W1;Water;7.0;nan
14;9;1050710;1087070;R1_0;Rebus;8.0;0.33
14;10;1089500;1101490;R1_1;Rebus;8.0;0.33
14;11;1106150;1121230;R1_2;Rebus;8.0;0.33
14;12;1123260;1151590;R1;RebusEvaluation;8.0;0.33
14;13;1154580;1223930;W2;Water;6.0;nan
14;14;1252230;1261530;R2_0;Rebus;7.0;0.5
14;15;1264690;1272040;R2_1;Rebus;7.0;0.5
14;16;1274700;1292700;R2_2;Rebus;7.0;0.5
14;17;1296570;1305760;R2_3;Rebus;7.0;0.5
14;18;1307260;1330930;R2;RebusEvaluation;7.0;0.5
14;19;1335080;1404590;W3;Water;5.0;nan
14;20;1431270;1442020;R3_0;Rebus;8.0;0.2
14;21;1445960;1457570;R3_1;Rebus;8.0;0.2
14;22;1462170;1471290;R3_2;Rebus;8.0;0.2
14;23;1475310;1488900;R3_3;Rebus;8.0;0.2
14;24;1493440;1504540;R3_4;Rebus;8.0;0.2
14;25;1508930;1527930;R3;RebusEvaluation;8.0;0.2
14;26;1529980;1635590;W4;Water;8.0;nan
14;27;1661460;1670850;R4_0;Rebus;8.0;0.14
14;28;1674310;1695630;R4_1;Rebus;8.0;0.14
14;29;1699580;1719410;R4_2;Rebus;8.0;0.14
14;30;1722300;1737400;R4_3;Rebus;8.0;0.14
14;31;1739920;1752810;R4_4;Rebus;8.0;0.14
14;32;1756360;1773480;R4_5;Rebus;8.0;0.14
14;33;1777610;1791640;R4_6;Rebus;8.0;0.14
14;34;1795590;1826930;R4;RebusEvaluation;8.0;0.14
14;35;1830350;1894260;W5;Water;7.0;nan
14;36;1921820;1996630;STAI-Y2-1;STAI-Y2;nan;nan
14;37;2001630;2199810;Relax-1;Relax;nan;nan
14;38;2204810;2267290;NASA-TLX;NASA-TLX;nan;nan
14;39;2272290;2621590;Debriefing;Debriefing;nan;nan
15;0;0;10240;Instructions;Instructions;nan;nan
15;1;15240;479350;PSS14;PSS14;nan;nan
15;2;484350;679990;Relax-0;Relax;nan;nan
15;3;684990;864800;STAI-Y2-0;STAI-Y2;nan;nan
15;4;869800;976880;W0;Water;6.0;nan
15;5;984600;997340;R0_0;Rebus;4.0;1.0
15;6;1002800;1013380;R0_1;Rebus;4.0;1.0
15;7;1014600;1032930;R0;RebusEvaluation;4.0;1.0
15;8;1037811;1145600;W1;Water;5.0;nan
15;9;1183850;1195340;R1_0;Rebus;6.0;0.67
15;10;1203080;1212620;R1_1;Rebus;6.0;0.67
15;11;1219540;1232680;R1_2;Rebus;6.0;0.67
15;12;1233930;1252600;R1;RebusEvaluation;6.0;0.67
15;13;1255570;1321930;W2;Water;5.0;nan
15;14;1350760;1358350;R2_0;Rebus;7.0;1.0
15;15;1364030;1373400;R2_1;Rebus;7.0;1.0
15;16;1378460;1391630;R2_2;Rebus;7.0;1.0
15;17;1398450;1405800;R2_3;Rebus;7.0;1.0
15;18;1407260;1423260;R2;RebusEvaluation;7.0;1.0
15;19;1425180;1491930;W3;Water;5.0;nan
15;20;1529730;1541290;R3_0;Rebus;8.0;0.0
15;21;1547640;1558270;R3_1;Rebus;8.0;0.0
15;22;1566860;1577060;R3_2;Rebus;8.0;0.0
15;23;1584990;1600430;R3_3;Rebus;8.0;0.0
15;24;1608320;1620350;R3_4;Rebus;8.0;0.0
15;25;1623930;1674600;R3;RebusEvaluation;8.0;0.0
15;26;1677990;1775930;W4;Water;5.0;nan
15;27;1817060;1827740;R4_0;Rebus;9.0;0.43
15;28;1834300;1849370;R4_1;Rebus;9.0;0.43
15;29;1857370;1873900;R4_2;Rebus;9.0;0.43
15;30;1880370;1897570;R4_3;Rebus;9.0;0.43
15;31;1903850;1918460;R4_4;Rebus;9.0;0.43
15;32;1923940;1940780;R4_5;Rebus;9.0;0.43
15;33;1948020;1965260;R4_6;Rebus;9.0;0.43
15;34;1965930;2000930;R4;RebusEvaluation;9.0;0.43
15;35;2003070;2072600;W5;Water;5.0;nan
15;36;2106120;2258950;STAI-Y2-1;STAI-Y2;nan;nan
15;37;2263950;2458130;Relax-1;Relax;nan;nan
15;38;2463130;2606520;NASA-TLX;NASA-TLX;nan;nan
15;39;2611520;2907930;Debriefing;Debriefing;nan;nan
16;0;0;136190;Instructions;Instructions;nan;nan
16;1;141540;233190;PSS14;PSS14;nan;nan
16;2;239431;422190;Relax-0;Relax;nan;nan
16;3;431890;482520;STAI-Y2-0;STAI-Y2;nan;nan
16;4;494500;601850;W0;Water;7.0;nan
16;5;618940;628710;R0_0;Rebus;5.0;1.0
16;6;633830;645560;R0_1;Rebus;5.0;1.0
16;7;646520;662850;R0;RebusEvaluation;5.0;1.0
16;8;671480;773520;W1;Water;7.0;nan
16;9;791650;805850;R1_0;Rebus;7.0;0.33
16;10;807190;820850;R1_1;Rebus;7.0;0.33
16;11;823850;836520;R1_2;Rebus;7.0;0.33
16;12;837190;855850;R1;RebusEvaluation;7.0;0.33
16;13;857730;920520;W2;Water;7.0;nan
16;14;939370;949850;R2_0;Rebus;8.0;0.25
16;15;951940;959520;R2_1;Rebus;8.0;0.25
16;16;961520;970850;R2_2;Rebus;8.0;0.25
16;17;974640;983520;R2_3;Rebus;8.0;0.25
16;18;984520;1013191;R2;RebusEvaluation;8.0;0.25
16;19;1015570;1081850;W3;Water;6.0;nan
16;20;1100830;1111030;R3_0;Rebus;9.0;0.2
16;21;1115180;1124920;R3_1;Rebus;9.0;0.2
16;22;1129510;1139080;R3_2;Rebus;9.0;0.2
16;23;1143640;1156010;R3_3;Rebus;9.0;0.2
16;24;1160620;1173630;R3_4;Rebus;9.0;0.2
16;25;1175520;1190190;R3;RebusEvaluation;9.0;0.2
16;26;1193520;1286850;W4;Water;6.0;nan
16;27;1305900;1316520;R4_0;Rebus;9.0;0.14
16;28;1317810;1335520;R4_1;Rebus;9.0;0.14
16;29;1337380;1361190;R4_2;Rebus;9.0;0.14
16;30;1363780;1379520;R4_3;Rebus;9.0;0.14
16;31;1381130;1396190;R4_4;Rebus;9.0;0.14
16;32;1397530;1413850;R4_5;Rebus;9.0;0.14
16;33;1415570;1431520;R4_6;Rebus;9.0;0.14
16;34;1432850;1451520;R4;RebusEvaluation;9.0;0.14
16;35;1454670;1519190;W5;Water;6.0;nan
16;36;1542820;1606850;STAI-Y2-1;STAI-Y2;nan;nan
16;37;1613800;1801520;Relax-1;Relax;nan;nan
16;38;1806840;1846190;NASA-TLX;NASA-TLX;nan;nan
16;39;1860850;2128190;Debriefing;Debriefing;nan;nan
17;0;0;223210;Instructions;Instructions;nan;nan
17;1;228210;326610;PSS14;PSS14;nan;nan
17;2;331610;525070;Relax-0;Relax;nan;nan
17;3;530070;631690;STAI-Y2-0;STAI-Y2;nan;nan
17;4;636690;739080;W0;Water;1.0;nan
17;5;745000;754850;R0_0;Rebus;3.0;1.0
17;6;760270;773070;R0_1;Rebus;3.0;1.0
17;7;781220;803890;R0;RebusEvaluation;3.0;1.0
17;8;816650;922890;W1;Water;3.0;nan
17;9;947890;959460;R1_0;Rebus;6.0;0.33
17;10;962320;971650;R1_1;Rebus;6.0;0.33
17;11;977340;988470;R1_2;Rebus;6.0;0.33
17;12;992270;1028220;R1;RebusEvaluation;6.0;0.33
17;13;1031000;1096560;W2;Water;2.0;nan
17;14;1115090;1123520;R2_0;Rebus;4.0;0.75
17;15;1126490;1133960;R2_1;Rebus;4.0;0.75
17;16;1135920;1145160;R2_2;Rebus;4.0;0.75
17;17;1148630;1158530;R2_3;Rebus;4.0;0.75
17;18;1158560;1174890;R2;RebusEvaluation;4.0;0.75
17;19;1176120;1238890;W3;Water;2.0;nan
17;20;1254290;1263380;R3_0;Rebus;7.0;0.2
17;21;1266390;1274580;R3_1;Rebus;7.0;0.2
17;22;1277430;1287120;R3_2;Rebus;7.0;0.2
17;23;1290740;1302710;R3_3;Rebus;7.0;0.2
17;24;1305310;1313950;R3_4;Rebus;7.0;0.2
17;25;1317240;1348560;R3;RebusEvaluation;7.0;0.2
17;26;1351680;1446560;W4;Water;3.0;nan
17;27;1465270;1473520;R4_0;Rebus;7.0;0.29
17;28;1479010;1493910;R4_1;Rebus;7.0;0.29
17;29;1495910;1514880;R4_2;Rebus;7.0;0.29
17;30;1515280;1529020;R4_3;Rebus;7.0;0.29
17;31;1530820;1544020;R4_4;Rebus;7.0;0.29
17;32;1546730;1560040;R4_5;Rebus;7.0;0.29
17;33;1562130;1575650;R4_6;Rebus;7.0;0.29
17;34;1577560;1609890;R4;RebusEvaluation;7.0;0.29
17;35;1611170;1674220;W5;Water;2.0;nan
17;36;1692880;1757540;STAI-Y2-1;STAI-Y2;nan;nan
17;37;1762540;1949830;Relax-1;Relax;nan;nan
17;38;1954830;2021671;NASA-TLX;NASA-TLX;nan;nan
17;39;2026220;2244890;Debriefing;Debriefing;nan;nan
19;0;0;275820;Instructions;Instructions;nan;nan
19;1;280820;506930;PSS14;PSS14;nan;nan
19;2;511930;715180;Relax-0;Relax;nan;nan
19;3;720180;873030;STAI-Y2-0;STAI-Y2;nan;nan
19;4;878030;970140;W0;Water;3.0;nan
19;5;976940;988981;R0_0;Rebus;5.0;0.5
19;6;989251;1003620;R0_1;Rebus;5.0;0.5
19;7;1004770;1032100;R0;RebusEvaluation;5.0;0.5
19;8;1064830;1166430;W1;Water;5.0;nan
19;9;1185170;1196340;R1_0;Rebus;6.0;0.67
19;10;1198560;1210920;R1_1;Rebus;6.0;0.67
19;11;1214790;1225320;R1_2;Rebus;6.0;0.67
19;12;1226430;1253100;R1;RebusEvaluation;6.0;0.67
19;13;1257380;1330100;W2;Water;4.0;nan
19;14;1347880;1355890;R2_0;Rebus;6.0;0.5
19;15;1358320;1366780;R2_1;Rebus;6.0;0.5
19;16;1369140;1380450;R2_2;Rebus;6.0;0.5
19;17;1383860;1393640;R2_3;Rebus;6.0;0.5
19;18;1394100;1421770;R2;RebusEvaluation;6.0;0.5
19;19;1424560;1489770;W3;Water;4.0;nan
19;20;1513870;1522560;R3_0;Rebus;7.0;0.2
19;21;1525250;1537400;R3_1;Rebus;7.0;0.2
19;22;1540860;1553280;R3_2;Rebus;7.0;0.2
19;23;1555830;1572340;R3_3;Rebus;7.0;0.2
19;24;1575620;1586210;R3_4;Rebus;7.0;0.2
19;25;1587100;1614430;R3;RebusEvaluation;7.0;0.2
19;26;1617730;1714430;W4;Water;4.0;nan
19;27;1731030;1747010;R4_0;Rebus;8.0;0.29
19;28;1750010;1764350;R4_1;Rebus;8.0;0.29
19;29;1766510;1791890;R4_2;Rebus;8.0;0.29
19;30;1796100;1811960;R4_3;Rebus;8.0;0.29
19;31;1815190;1839290;R4_4;Rebus;8.0;0.29
19;32;1841810;1863190;R4_5;Rebus;8.0;0.29
19;33;1867980;1883930;R4_6;Rebus;8.0;0.29
19;34;1884430;1929100;R4;RebusEvaluation;8.0;0.29
19;35;1931660;1995430;W5;Water;6.0;nan
19;36;2015780;2118900;STAI-Y2-1;STAI-Y2;nan;nan
19;37;2123900;2318450;Relax-1;Relax;nan;nan
19;38;2323450;2461030;NASA-TLX;NASA-TLX;nan;nan
19;39;2464770;2566100;Debriefing;Debriefing;nan;nan
20;0;0;187270;Instructions;Instructions;nan;nan
20;1;190490;329270;PSS14;PSS14;nan;nan
20;2;335410;522270;Relax-0;Relax;nan;nan
20;3;529340;576270;STAI-Y2-0;STAI-Y2;nan;nan
20;4;621300;710930;W0;Water;7.0;nan
20;5;718480;731700;R0_0;Rebus;3.0;1.0
20;6;735780;747710;R0_1;Rebus;3.0;1.0
20;7;748600;767600;R0;RebusEvaluation;3.0;1.0
20;8;786550;887270;W1;Water;4.0;nan
20;9;920880;933210;R1_0;Rebus;7.0;0.67
20;10;935300;949030;R1_1;Rebus;7.0;0.67
20;11;951510;964500;R1_2;Rebus;7.0;0.67
20;12;964600;989930;R1;RebusEvaluation;7.0;0.67
20;13;994600;1058600;W2;Water;6.0;nan
20;14;1088350;1098400;R2_0;Rebus;7.0;0.5
20;15;1100340;1112380;R2_1;Rebus;7.0;0.5
20;16;1115110;1125340;R2_2;Rebus;7.0;0.5
20;17;1128520;1138150;R2_3;Rebus;7.0;0.5
20;18;1138930;1162600;R2;RebusEvaluation;7.0;0.5
20;19;1166020;1231270;W3;Water;4.0;nan
20;20;1254860;1266210;R3_0;Rebus;8.0;0.2
20;21;1270520;1279910;R3_1;Rebus;8.0;0.2
20;22;1283550;1293750;R3_2;Rebus;8.0;0.2
20;23;1297280;1309970;R3_3;Rebus;8.0;0.2
20;24;1313100;1322220;R3_4;Rebus;8.0;0.2
20;25;1323930;1350930;R3;RebusEvaluation;8.0;0.2
20;26;1354300;1456930;W4;Water;3.0;nan
20;27;1480520;1490330;R4_0;Rebus;8.0;0.29
20;28;1492950;1504430;R4_1;Rebus;8.0;0.29
20;29;1506330;1527060;R4_2;Rebus;8.0;0.29
20;30;1529020;1542550;R4_3;Rebus;8.0;0.29
20;31;1545530;1558330;R4_4;Rebus;8.0;0.29
20;32;1560440;1575160;R4_5;Rebus;8.0;0.29
20;33;1577780;1592840;R4_6;Rebus;8.0;0.29
20;34;1593930;1618270;R4;RebusEvaluation;8.0;0.29
20;35;1622420;1688930;W5;Water;3.0;nan
20;36;1723190;1770270;STAI-Y2-1;STAI-Y2;nan;nan
20;37;1780600;1993600;Relax-1;Relax;nan;nan
